   MODELL       MASS                AGE     LOG_L    LOG_TE     LOG_R   LOG_RAT M_CORE_HE  M_CORE_C        H_CEN       HE_CEN        C_cen        O_cen          LX          LY          LC      LNEUTR      L_GRAV        H_SUP       HE_SUP        C_SUP        N_SUP        O_SUP          PHASE
       44    0.95000  2.32796317800E+00   2.49542   3.57434  12.46513 -30.00000   0.00000   0.00000  7.22970E-01  2.66980E-01  1.77400E-03  4.40100E-03     0.00000     0.00000     0.00000     0.00000     0.99742  7.23000E-01  2.67000E-01  1.77400E-03  4.84500E-04  4.40100E-03   1.0000002084
       45    0.95000  2.90999317800E+00   2.49501   3.57437  12.46485 -30.00000   0.00000   0.00000  7.22970E-01  2.66980E-01  1.77400E-03  4.40100E-03     0.00000     0.00000     0.00000     0.00000     0.99742  7.23000E-01  2.67000E-01  1.77400E-03  4.84500E-04  4.40100E-03   1.0000002605
       46    0.95000  3.63753317800E+00   2.49450   3.57442  12.46450 -30.00000   0.00000   0.00000  7.22970E-01  2.66980E-01  1.77400E-03  4.40100E-03     0.00000     0.00000     0.00000     0.00000     0.99742  7.23000E-01  2.67000E-01  1.77400E-03  4.84500E-04  4.40100E-03   1.0000003257
       47    0.95000  4.54695317800E+00   2.49385   3.57448  12.46407 -30.00000   0.00000   0.00000  7.22970E-01  2.66980E-01  1.77400E-03  4.40100E-03     0.00000     0.00000     0.00000     0.00000     0.99742  7.23000E-01  2.67000E-01  1.77400E-03  4.84500E-04  4.40100E-03   1.0000004071
       48    0.95000  5.68375317800E+00   2.49305   3.57455  12.46353 -30.00000   0.00000   0.00000  7.22970E-01  2.66980E-01  1.77400E-03  4.40100E-03     0.00000     0.00000     0.00000     0.00000     0.99742  7.23000E-01  2.67000E-01  1.77400E-03  4.84500E-04  4.40100E-03   1.0000005089
       49    0.95000  7.10475317800E+00   2.49206   3.57463  12.46286 -30.00000   0.00000   0.00000  7.22970E-01  2.66980E-01  1.77400E-03  4.40100E-03     0.00000     0.00000     0.00000     0.00000     0.99742  7.23000E-01  2.67000E-01  1.77400E-03  4.84500E-04  4.40100E-03   1.0000006361
       50    0.95000  8.88095317800E+00   2.49082   3.57474  12.46202 -30.00000   0.00000   0.00000  7.22970E-01  2.66980E-01  1.77400E-03  4.40100E-03     0.00000     0.00000     0.00000     0.00000     0.99742  7.23000E-01  2.67000E-01  1.77400E-03  4.84500E-04  4.40100E-03   1.0000007951
       51    0.95000  1.11012531780E+01   2.48928   3.57487  12.46098 -30.00000   0.00000   0.00000  7.22970E-01  2.66980E-01  1.77400E-03  4.40100E-03     0.00000     0.00000     0.00000     0.00000     0.99742  7.23000E-01  2.67000E-01  1.77400E-03  4.84500E-04  4.40100E-03   1.0000009939
       52    0.95000  1.38765531780E+01   2.48737   3.57504  12.45970 -30.00000   0.00000   0.00000  7.22970E-01  2.66980E-01  1.77400E-03  4.40100E-03     0.00000     0.00000     0.00000     0.00000     0.99742  7.23000E-01  2.67000E-01  1.77400E-03  4.84500E-04  4.40100E-03   1.0000012424
       53    0.95000  1.73457531780E+01   2.48504   3.57525  12.45811 -30.00000   0.00000   0.00000  7.22970E-01  2.66980E-01  1.77400E-03  4.40100E-03     0.00000     0.00000     0.00000     0.00000     0.99742  7.23000E-01  2.67000E-01  1.77400E-03  4.84500E-04  4.40100E-03   1.0000015530
